"","country","sftgcode","forecast.year","Risk2","Risk","rf.p","threat.p","harff.p","year","cou.tries5d","countryage.ln","coup.p","cwar.p","dis.l4pop.ln","elc.eleth1","elc.eleth2","elc.elethc","elc.eliti","elf.ethnicc1","elf.ethnicc2","elf.ethnicc3","elf.ethnicc9","gdppcgrow.sr","imr.normed.ln","ios.iccpr1","mev.civtot.ln","mev.regac.ln","mkl.ever","mkl.ongoing","pit.sftpuhvl2.10.ln","pitf.p","pol.autoc","pol.cat.fl1","pol.cat.fl2","pol.cat.fl3","pol.cat.fl7","pol.cat.pitf2","pol.cat.pitf3","pol.cat.pitf4","pol.cat.pitf5","pol.cat.pitf6","pol.durable.ln","postcw","reg.afr","reg.amr","reg.eap","reg.eur","reg.mna","reg.sca","t.reserve.ln","wdi.popsize.ln","wdi.trade.ln","date"
"1","Somalia","SOM",2017,0.376547295235212,37.6547295235212,0.067,0.0676695695941689,0.994972316111468,2016,0,4.04305126783455,0.414198142138993,0.0162908606828981,0,0,0,0,0,0,0,1,0,-1.21822645031301,1.65280800913419,1,1.79175946922805,2.63905732961526,1,0,1.38629436111989,1,0,0,1,0,0,0,0,1,0,0,1.38629436111989,1,1,0,0,0,0,0,0,9.28610662556377,4.33273001316265,2017-06-22
"2","Yemen","YEM",2017,0.0385357177156693,3.85357177156693,0.036,0.0411975612539665,0.0384095918930413,2016,0,3.29583686600433,0.097897980595303,0.0061127723508501,0,1,0,1,0,0,0,0,1,-2.64789916047781,0.940851496616751,0,1.6094379124341,3.3322045101752,0,0,1.6094379124341,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,22.399295827463,10.1973584968514,3.48818336024317,2017-06-22
"3","South Sudan","SSU",2017,0.0291562942275842,2.91562942275842,0.043,0.0444688826827525,2.22044604925031e-16,2016,1,0,0.123017493398477,0.0044261101553699,2.87919845729804,0,1,1,0,0,0,0,1,0,1.25044367870428,1,1.79175946922805,3.61091791264422,1,1,2.30258509299405,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,19.2530702411715,9.42058606233522,4.20998712405201,2017-06-22
"4","Syria","SYR",2017,0.0281891914660376,2.81891914660376,0.028,0.0565675743981125,2.22044604925031e-16,2016,0,4.26267987704132,0.238873981364463,0.0433384578121547,4.31748811353631,0,1,1,1,1,0,0,0,1.40937861693764,-0.196475304232048,0,1.94591014905531,3.25809653802148,1,1,1.6094379124341,2.22044604925031e-16,1,1,0,0,0,0,0,0,0,0,1.38629436111989,1,0,0,0,0,1,0,23.7501045481585,9.82565643499328,4.33698319007367,2017-06-22
"5","Afghanistan","AFG",2017,0.0177097920512108,1.77097920512108,0.003,0.0501242615494503,5.11460418196564e-06,2016,0,4.58496747867057,0.162152177362594,0.236716508491124,0,0,0,0,0,0,0,1,0,-0.529696454224362,1.80784560697968,0,1.38629436111989,3.13549421592915,1,0,1.6094379124341,1,1,0,1,0,0,1,0,0,0,0,0.693147180559945,1,0,0,0,0,0,1,22.6658800032667,10.389812326824,4.04268480393095,2017-06-22
"6","Chad","CHA",2017,0.0136506686415892,1.36506686415892,0.006,0.0349516800058806,3.25918887103143e-07,2016,0,4.04305126783455,0.0555824625967193,0.775607231174217,0,0,0,0,0,0,0,1,0,-1.87759777186108,1.5481373865703,1,0,2.39789527279837,1,0,0,1,1,0,1,0,0,1,0,0,0,0,3.17805383034795,1,1,0,0,0,0,0,19.7260817620883,9.54948560438754,4.20694456340563,2017-06-22
"7","Iraq","IRQ",2017,0.00143768496526353,0.143768496526353,0.004,0.000312973814892851,8.10808977256464e-08,2016,0,4.44265125649032,1.33895631509976e-07,7.44660041967308e-08,3.04452243772342,0,0,0,0,1,0,0,0,2.74401980590128,0.706570200892087,0,1.6094379124341,3.3322045101752,1,0,1.6094379124341,1,0,0,0,1,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0,1,0,24.7132113112078,10.5029665669492,4.04152774821021,2017-06-22
"8","Somalia","SOM",2018,0.37525057735967,37.525057735967,0.069,0.0617773910444787,0.994974341034532,2016,0,4.04305126783455,0.312879680961626,0.0180982508186298,0,0,0,0,0,0,0,1,0,-1.21822645031301,1.65280800913419,1,1.79175946922805,2.63905732961526,1,0,1.38629436111989,1,0,0,1,0,0,0,0,1,0,0,1.38629436111989,1,1,0,0,0,0,0,0,9.28610662556377,4.33273001316265,2017-06-22
"9","Yemen","YEM",2018,0.0339753151200973,3.39753151200973,0.033,0.0305212124284875,0.0384047329318044,2016,0,3.29583686600433,0.0662894710902349,0.0164365738392954,0,1,0,1,0,0,0,0,1,-2.64789916047781,0.940851496616751,0,1.6094379124341,3.3322045101752,0,0,1.6094379124341,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,22.399295827463,10.1973584968514,3.48818336024317,2017-06-22
"10","South Sudan","SSU",2018,0.0244946951242849,2.44946951242849,0.043,0.0304840853728544,2.22044604925031e-16,2016,1,0,0.0688181507869379,0.0126953371861893,2.87919845729804,0,1,1,0,0,0,0,1,0,1.25044367870428,1,1.79175946922805,3.61091791264422,1,1,2.30258509299405,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,19.2530702411715,9.42058606233522,4.20998712405201,2017-06-22
"11","Syria","SYR",2018,0.0242032929676877,2.42032929676877,0.02,0.0526098789030628,2.22044604925031e-16,2016,0,4.26267987704132,0.183186654110311,0.0553595337257205,4.31748811353631,0,1,1,1,1,0,0,0,1.40937861693764,-0.196475304232048,0,1.94591014905531,3.25809653802148,1,1,1.6094379124341,2.22044604925031e-16,1,1,0,0,0,0,0,0,0,0,1.38629436111989,1,0,0,0,0,1,0,23.7501045481585,9.82565643499328,4.33698319007367,2017-06-22
"12","Afghanistan","AFG",2018,0.0172365375222101,1.72365375222101,0,0.0517044992481607,5.11331846964938e-06,2016,0,4.58496747867057,0.143632263772068,0.206443845933015,0,0,0,0,0,0,0,1,0,-0.529696454224362,1.80784560697968,0,1.38629436111989,3.13549421592915,1,0,1.6094379124341,1,1,0,1,0,0,1,0,0,0,0,0.693147180559945,1,0,0,0,0,0,1,22.6658800032667,10.389812326824,4.04268480393095,2017-06-22
"13","Chad","CHA",2018,0.0110315190706676,1.10315190706676,0,0.0330942313584023,3.25853600543557e-07,2016,0,4.04305126783455,0.0442665253434492,0.694573407202914,0,0,0,0,0,0,0,1,0,-1.87759777186108,1.5481373865703,1,0,2.39789527279837,1,0,0,1,1,0,1,0,0,1,0,0,0,0,3.17805383034795,1,1,0,0,0,0,0,19.7260817620883,9.54948560438754,4.20694456340563,2017-06-22
"14","Iraq","IRQ",2018,0.0016725949144051,0.16725949144051,0.005,1.77036900823834e-05,8.10531329158075e-08,2016,0,4.44265125649032,5.7072154994866e-08,6.82408886784699e-08,3.04452243772342,0,0,0,0,1,0,0,0,2.74401980590128,0.706570200892087,0,1.6094379124341,3.3322045101752,1,0,1.6094379124341,1,0,0,0,1,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0,1,0,24.7132113112078,10.5029665669492,4.04152774821021,2017-06-22
"15","Somalia","SOM",2019,0.374763350862331,37.4763350862331,0.069,0.060315711552461,0.994974341034532,2016,0,4.04305126783455,0.28816263198101,0.0180982508186298,0,0,0,0,0,0,0,1,0,-1.21822645031301,1.65280800913419,1,1.79175946922805,2.63905732961526,1,0,1.38629436111989,1,0,0,1,0,0,0,0,1,0,0,1.38629436111989,1,1,0,0,0,0,0,0,9.28610662556377,4.33273001316265,2017-06-22
"16","Yemen","YEM",2019,0.0333976746926429,3.33976746926429,0.033,0.0287882911461244,0.0384047329318044,2016,0,3.29583686600433,0.0591138636639674,0.0164365738392954,0,1,0,1,0,0,0,0,1,-2.64789916047781,0.940851496616751,0,1.6094379124341,3.3322045101752,0,0,1.6094379124341,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,22.399295827463,10.1973584968514,3.48818336024317,2017-06-22
"17","South Sudan","SSU",2019,0.0235958743232574,2.35958743232574,0.043,0.0277876229697718,2.22044604925031e-16,2016,1,0,0.0570954668922952,0.0126953371861893,2.87919845729804,0,1,1,0,0,0,0,1,0,1.25044367870428,1,1.79175946922805,3.61091791264422,1,1,2.30258509299405,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,19.2530702411715,9.42058606233522,4.20998712405201,2017-06-22
"18","Syria","SYR",2019,0.0235914817643939,2.35914817643939,0.02,0.0507744452931814,2.22044604925031e-16,2016,0,4.26267987704132,0.165730430924429,0.0553595337257205,4.31748811353631,0,1,1,1,1,0,0,0,1.40937861693764,-0.196475304232048,0,1.94591014905531,3.25809653802148,1,1,1.6094379124341,2.22044604925031e-16,1,1,0,0,0,0,0,0,0,0,1.38629436111989,1,0,0,0,0,1,0,23.7501045481585,9.82565643499328,4.33698319007367,2017-06-22
"19","Afghanistan","AFG",2019,0.0175021022043172,1.75021022043172,0,0.0525011932944818,5.11331846964938e-06,2016,0,4.58496747867057,0.144946287377246,0.206443845933015,0,0,0,0,0,0,0,1,0,-0.529696454224362,1.80784560697968,0,1.38629436111989,3.13549421592915,1,0,1.6094379124341,1,1,0,1,0,0,1,0,0,0,0,0.693147180559945,1,0,0,0,0,0,1,22.6658800032667,10.389812326824,4.04268480393095,2017-06-22
"20","Chad","CHA",2019,0.010790044251147,1.0790044251147,0,0.0323698068998406,3.25853600543557e-07,2016,0,4.04305126783455,0.0421421773843555,0.694573407202914,0,0,0,0,0,0,0,1,0,-1.87759777186108,1.5481373865703,1,0,2.39789527279837,1,0,0,1,1,0,1,0,0,1,0,0,0,0,3.17805383034795,1,1,0,0,0,0,0,19.7260817620883,9.54948560438754,4.20694456340563,2017-06-22
"21","Iraq","IRQ",2019,0.00167155871325563,0.167155871325563,0.005,1.45950866339704e-05,8.10531329158075e-08,2016,0,4.44265125649032,5.91128253865378e-08,6.82408886784699e-08,3.04452243772342,0,0,0,0,1,0,0,0,2.74401980590128,0.706570200892087,0,1.6094379124341,3.3322045101752,1,0,1.6094379124341,1,0,0,0,1,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0,1,0,24.7132113112078,10.5029665669492,4.04152774821021,2017-06-22
